Field name,PostgresType
Arb_Person_Id,BIGINT
Arb_Encounter_Id,BIGINT
CREATE_TIME,TIMESTAMP WITH TIME ZONE
PROVIDER,VARCHAR(100)
MessageType,VARCHAR(100)
MSG_ID,INTEGER
MSG_TXT,TEXT
NoteLine,INTEGER
