Field name,Type
PAT_MRN,STRING
PAT_ID,STRING
ORDER_ID,INTEGER
COMPONENT_ID,INTEGER
RESULT_DATE,DATE
RESULT_LINE,INTEGER
COMPONENT_NAME,STRING
ORD_VALUE,FLOAT
RESULT_FLAG,STRING
REF_NORMAL_VALS,LONG_STRING
REFERENCE_LOW,LONG_STRING
REFERENCE_HIGH,LONG_STRING
REFERENCE_UNIT,STRING
LINE_COMMENT,TEXT
RESULT_FLAG_C,INTEGER
RESULTS_COMP_CMT,TEXT
RESULTS_CMT,TEXT
